In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.17.49;0.17.55;0.00.06;32;ありがとう ござい ます そしたらそっちの 張り付け た 先 の 方 の シート を 見 て いき ます？;plan;d;TP;11;31;R;A
0.17.58;0.17.59;0.00.01;33;そうですね.;plan;d;G;12;32;A;R
0.17.59;0.18.01;0.00.02;34;ね。 はい。;plan;d;V;13;33;R;A
0.18.13;0.18.17;0.00.03;35;全体 的 に 見 て。;plan;d;O;14;35;R;all
0.18.27;0.18.33;0.00.06;36;どうしますなんか1人1人共有 し ながら やる か 何 か これ を 見 ながら 思いつい た もの を どんどん 話し て いく か どっち が やり やすい です か。;plan;d;Q;1;36;R;all
0.18.37;0.18.46;0.00.10;37;何 か 一応僕の中では 1 人 に 1 人 が 考え た こと を 全体 で 共有 し て それ を 踏まえ て 何 か みんな で 意見 を 出せれ ば いい か な と 思っ て た ん です けど。;plan;d;O;2;36;T;R
0.18.49;0.18.51;0.00.02;38;そっちの 方向 で 大丈夫 そう です か.;plan;c;Q;3;37;R;all
0.18.52;0.18.52;0.00.00;39;はい.;plan;c;V;4;38;T;R
0.18.53;0.18.53;0.00.00;40;大丈夫です.;plan;c;V;5;38;A;R
0.18.54;0.19.00;0.00.06;41;はい じゃあ そのまま 小松 さん から どう です か。 って 振っ て みました。;discussion;d;Q;6;40;R;T
0.19.00;0.19.00;0.00.00;42;大丈夫です。.;discussion;d;V;7;41;T;R
0.19.00;0.19.00;0.00.00;43;はい ありがとう ござい ます;discussion;d;T;8;42;R;T
0.19.03;0.20.11;0.01.09;44;ちょっと えーと 僕 が 書い た の は ちょっと まだ あんまり できて ない ん です けど この えっと 左側 です ね 増加 する 移住 者 も 左上 の 方 に ちょっと スペース が なく 伸ばし ちゃっ た ん です けど そこ の ところ 僕 は 書い て て すぐ に 新しい タイプ の 移住 者 って こと で 地方 で も都市部で も 両方 仕事 が できる よう な ライフワーク スタイル を 持っ て いる 人 たち を ターゲット に し て でまあ その 人 たち が 地方 に 移住 する って なっ た とき に 仕事 を ちゃんと 作れる か って ところ と 安定 し た 収入 を 維持 できる か みたい な ところ を 結びつけ て まあ その 背景 と か コロナ で 変わっ た こと として も リモートワーク ワーケーション みたい な ところ を 結びつけ られれ ば いい か な と 思っ て い て ちょっと 昨日 の 何 か 間 の 組織 に 引っ張ら れ ちゃっ てる ところ は ある ん です けど 何 か そういう ところ で 新しく 雇用 が 創出 できれ ば 移住 し て き て くれる か な と 思い ます し 最初 は もちろん リモート ワーク とか ワー ケーション でも いい ん です けど そこ に 魅力 を 感じ て 最終 的 に 関係人口 とか に つながっ て 最終的 に 定住 し て くれれ ば いい か な って いう の が 自分 の 頭 の 中 に は あっ た ので ここ を ちょっと ずつ 結びつけてみまし た 以上 です 。;discussion;d;O;1;44;T;R
0.20.16;0.20.17;0.00.01;45;ありがとう ござい ます。.;discussion;d;T;2;44;R;T
0.20.21;0.20.23;0.00.02;46;じゃあ 次 しゃべり たい 人 いますか。;discussion;d;Q;3;46;R;all
0.20.32;0.21.04;0.00.33;47;あ じゃあ話します すみません 下 の 方 の 認知症 は もはや 他人事 で は なく なる という もの で たぶん 向こう の 方 に 人員 が なかっ た とき に この前言った 外部 の 人間 っていう の が 実際 に 高齢 者 の 方々 と 関わる って の は すごい 大事 か な と 思う の ので という 団体 から ボランティア を 募っ た よ とか あと は その 地域 の 人 たち が 気疲れ し ない よう な 取り組み っていう の が 必要 か な と 思っ た の で あ下させていただきました 。 以上 です。.;discussion;d;O;4;46;H;R
0.21.07;0.21.07;0.00.00;48;ありがとうございます.;discussion;d;T;5;47;R;H
0.21.08;0.22.25;0.01.17;49;私 しゃべり ます。 下 の 方 の と 画一 的 な 製品 サービス から っていう ところ な ん です けど あ 違い ます ごめんなさい。 あ どこだっけ あ そう だ 画一的 あっ てますごめんなさい なんかその コロナ の オンライン 化 とか リモート ワーク が 進む こと に も ちょっと とか 移住 に も 関連 し て て だから 移住 者 は 増え てる けど 一時 的 な 何 だろ う ちょっと 旅行 だっ たり とか 観光 で 訪れ て その 土地 を 回っ て 知ってく みたい な の が 減っ ちゃっ てる なっ ていう の を 感じ て 何 か それ って せっかく 移住 し て その 土地 を 知る 人 が 増える のに 何 か 東京 とか に ずっと 住まなきゃ いけ ない 人 が そういう 画一 的 な 地方 に そういう デザイン って 多い じゃ ない です か なんか こう 工房 が あっ たり とか 食品があったりとか何 か そこ に 辿り 着ける の の ハードル が 上がっ てる の を その 移住 し た 人達 とか が なにか 橋渡し に できる ん じゃ ない か な っていう 風 に ちょっと 考え ながら その 移住 に も 繋がる な って 思っ て その から ニーズ を 選び まし た。;discussion;d;O;6;49;A;R
0.22.28;0.22.29;0.00.01;50;ありがとう ござい ます.;discussion;d;T;7;49;R;
0.22.29;0.23.27;0.00.57;51;で 私 の 方 は 何 か コピペ か うまく いっ て なく て こっちに移動してきてない ん です けど 私 は 何 か 下 から 始め て い て 総共働き社会みたい な ところ で 家事 や 子育て の 分担 を みんな で 助け合い たい みたい な ところ これ も 移住 の ところ の ニーズ に つながっ て くる か な って いう の も ある と 思い ます けれども 何 か 働き 方 待遇 の 見直し とか 家事 代行 サービス の どう 捉える か みたい な 田舎 とか だ と なんかあ の 人 サボっ て いる ん じゃ ない みたい な 見方 を さ れ ちゃう みたい な ところ も あっ たり する 都会 で も あっ たり する と は 思う ん です けども そういった もの と 向き合い ながら 祖父母 世代 とか あと お 仕事 として 助け て くださる 方 と どう やっ て いく か みたい な そんな 新しい コミュニティー の つくり 方 とか が 出来 て も 面白い な か な と 思っ て 選ん で つなげ て まし た そんな 感じ です。 終わり と 移住 の ところ に つながっ て くる ニーズ も 多かっ た 感じ です か ね;discussion;d;O;8;51;R;all
0.23.28;0.23.35;0.00.08;52;何 か 結構 昨日 のに まだ ちょっと 引っ張ら れ て しまっ た という 感じ は あり ます が.;discussion;d;O;9;52;A;R
0.23.35;0.23.35;0.00.00;53;私も;discussion;d;G;10;52;R;A
0.23.42;0.24.45;0.01.03;54;何 か 僕 が 一つ 心配 し てる こと と いう か 今 考え て て 思っ た こと な ん です けど その 多分昨日の 基礎 講演 みたい な の が あっ た と 思う ん です けど その中でその 地域 の リソース を いかに 活用 する か みたい な 話 が あってその 移住 を する にあたって その 地域 の にリソースって 魅力 に は なる か な と 思う ん です けど それ って いい し 一時 的 な もの じゃ ない の か な って いう の ちょっと 気 に も し て て 例えば その 地域 の リソース に 魅力 を 持っ て 移住 し て き て くれる きっかけ づくり は ない かも しれ ない ん です けど いざ 移住 し た 後 に その 魅力 に 慣れ ちゃっ たり とかし て そこ まで 魅力 に 感じ なかっ た 場合 って それ って 地域 の リソース 継続 的 に 活用 でき て ない ん じゃ ない の か なっ て 僕 が ちょっと 思っ た ん です よ なので なんか そう です ね なんか もう ちょっと 地域 の リソース も 多分 この 後 結びつけ て 考え て いく と 思う ので それ を もっと 継続 的 に 何 か に も できる よう な ニーズ を 見つけ て いっ た 方 が 今後 も やり やすい ん じゃ ない か な と 僕 に も 考え ながら と 思っ て い た ところ で は あり ます。;discussion;c;O;11;54;T;R
0.24.47;0.25.02;0.00.15;55;確か に 何 か ずっと 活用 し 続け られる と いう か なんと いう か それ も 何 か 波及 性 と いう か いろんな ね 活用 の 仕方 が できる リソース で やれ ば いい の かも しれ ませ ん し ね.;discussion;c;GO;12;54;R;T
0.25.03;0.25.04;0.00.01;56;堀 向 さん その 辺 どう 思わ れ ました;discussion;c;Q;13;55;R;Y
0.25.08;0.25.31;0.00.23;57;そうですね まだ 確か に リソース を 挙げ て ない ので 何 を 活用 しよ う か な って とこ が 見え て ない ところ も ある か な と 思う ん です よ ね リソース を 少し ずつ 上げ ながら じゃあ その リソース を 活用 し て。 ニーズ が どっち が 先 か な ちょっと 迷う ところ だ ね;discussion;c;O;14;56;Y;R
0.25.33;0.26.07;0.00.34;58;'あとから リソース が はめこむ 形 に なっ ちゃう の は 諏訪市の 方々 が いる 中 で それ って ちょっと 都合 よく なっ て ない みたい に なっ たら すぐ わかっ ちゃう と 思う ので いったん リソース 出す だけ 出し て そこで ガチ っと アイデア 決め ず に 何 か こんな こと これ とか あっ たら 面白 そう なんか こう つながり あり そう じゃ ない みたい な 話 を する 方向 で も いい いい と 思い ます 1 回 何 か それ を 視野 に 入れ て 考え た ほう が 現実 的 に なり そう。;discussion;c;O;15;57;A;Y
0.26.07;0.26.10;0.00.03;59;うん じゃ まず 一回出していきますか;discussion;d;P;16;58;R;all
0.26.12;0.26.24;0.00.12;60;で あまり 何でもかんでも リソース じゃ なく て やっぱり これ に 関連 する リソース を 上げ て いく っていう よう な 感じ の 方 が いい と 思う んで ニーズ に対する リソース みたい な 感じ か な と 思い ます ね;discussion;d;O;17;59;Y;R
0.26.26;0.26.27;0.00.01;61;はーい じゃあ また 5 分 とか 取っ て やっ て いき ます か。;plan;d;P;18;60;R;all
0.30.38;0.30.40;0.00.01;62;今 どんな 感じ です か。;plan;d;Q;1;62;R;all
0.30.44;0.30.53;0.00.08;63;一応僕 は あの ひとつ だけ これ は 結構 いい ん じゃ ない か っていう リソース を 見つけ てを 結びつける こと が でき た っていう 状態 です。;plan;d;A;2;62;T;R
0.30.55;0.30.58;0.00.03;64;うち も だいたい 大丈夫 そう です;plan;d;A;3;62;A;R
0.30.59;0.31.00;0.00.01;65;大丈夫 です;plan;d;A;4;62;H;R
0.31.00;0.31.01;0.00.01;66;はい 私 も 張れました;plan;d;A;5;62;R;all
0.31.03;0.31.04;0.00.01;67;これ を どうしようかな;plan;d;Q;1;67;R;all
0.31.08;0.31.12;0.00.04;68;時間 って あれ でし た っけ。 10 時 50 分 まででし た っけ 9時50分;plan;d;Q;2;68;R;all
0.31.13;0.31.14;0.00.01;69;10 時;plan;d;A;3;68;A;R
0.31.14;0.31.14;0.00.00;70;良かったびっくりしたもうちょっとで終わると思った.;plan;d;O;4;69;R;A
0.31.17;0.31.25;0.00.08;71;えーっと じゃあ 何 か ちょこっと ずつ 話し ながら シェアします 。 どう し ます と そう し ます か。 じゃあ話したい人から;plan;d;I;1;71;R;all
0.31.30;0.32.24;0.00.55;72;じゃあ私から 行き ます なんか 私 は その もちろん その ニーズ に あっ て そう な リソース で も いい よ いい な と は 思う ん です けど 逆に その 機能 新規 性 とか の 部分 で 言う と 結構 ニーズ から 直接 発想 し ない よう な リソース で も の 方 が 新しい スタートアップ として 成立 し やすかっ たり そこ に 需要 が ある ん じゃ ない か な っていう 風 に 思っ て 結構 何でもかんでも 公 に し て 出 て き た こと を 挙げ て い た ので なんか これ は リソース の 提案 と いう か意見 に なっ ちゃう と 思う ん です けど 結構 幅広く 考え て も いい ん じゃ ない か な っていう ふう に 思い ながら じゃあ すぐ 酒蔵 が ある とか ちっちゃい 目 の こと で も 挙げ て まし た 以上です。.;discussion;d;O;2;71;A;R
0.32.24;0.32.24;0.00.00;73;素敵;discussion;d;E;3;72;R;A
0.32.32;0.33.42;0.01.10;74;次 僕 しゃべります ね えっと まず 僕 が 挙げ た 諏訪 市 茅野 市 の リソースって ところ で ちょっと まだ 茅野 市 に は 踏み込め て ない ん です けど と 一番 上 の 増加 する 移住者 の 右側 に 諏訪 移住 相談 センター みたい な もの が 都 側 地域 に は ある みたい で そこ は結構 の 包括 的 に 移住 の こと に関して やっ たり と 取り組ん で いる 組織 みたい で そこ の ノウハウ だっ たり とか って いう の は 活用 できる か な と 思い ます し例えば 自分 たち が その スタート アップ を 立ち 上げる 時 に なれ ば そこ と うまく 連携 し て 事業 を 行っ て いく って こと も できる ので 今 僕 たち は あくまで スタートアップ な ので 多分 その 地域 の こと って あまり 詳しく ない と 思う の です が 持っ て しかも そちら の 組織 と 連携 する こと で やれる か な と 思っ た ので 上げ た ん です けど これ 新規 性 の 面 で は どう な の か な っていう ところ は ちょっと 自分 で も 疑問 に は 思っ て ます 何 か 完全 に 既存 の もの を 活用 し ちゃっ てる ので 何 か アイデア と いう より か は 何 か そっち に 丸 投げ し ちゃっ てる 感じ が 僕 の 中 で は て いる ので 何 か 実現 可能 性 という 面 で は 既存 です って に 動い てる 組織 っていう こと も あっ て いい と は 思う ん です けど 僕 の 中 で は もう少し 新しく し たい か な っていう 感じ です 以上 です。;discussion;d;O;4;73;T;R
0.33.44;0.33.47;0.00.03;75;でも 何 か 既存 の 何 か 別 な リソース と 組み合わせ て も.;discussion;d;O;5;74;A;T
0.33.47;0.33.48;0.00.01;76;うんうん そうですね.;discussion;d;G;6;75;T;A
0.33.48;0.34.03;0.00.15;77;その土地に 強い 人 たち が いる って いう の は めちゃくちゃ 強い な って 思い まし た そう です けど そこ だけ に なっ ちゃう と そうだよ ね って なっ ちゃう けど 何 個 か 別 の こと と どの アイデア と で も くっつけ られ そうですね;discussion;d;O;7;76;A;T
0.34.03;0.34.16;0.00.13;78;うん さっき そうですね 所 さん が おっしゃっ て た みたい に 何 か 別 の そっからその 一 個 アイデア を 飛ばし た アイデア みたい な ところ と 結びつけ られれ ば 実現 可能 性 と 新規性 と の 両立 みたい な できる かも しれ ない ので 確か に 確か に そう です ありがとう ござい ます。;discussion;d;GO;8;77;T;A
0.34.18;0.34.20;0.00.03;79;って 切り口 次第 で 面白く なる な と 思い まし た。;discussion;d;G;9;78;R;T
0.34.24;0.35.15;0.00.51;80;じゃあ次僕な ん です けど 単純 に もう 陶芸 体験 というのを挙げ た ん です けど 僕はいろいろ その陶芸 って 詳しく ない ん です けど 粘土 から 作られる の で 環境 に は そんなに 悪く ない の か な って 思う ので 良い もの と あと は 単純 に 高齢 者 で も できる っていう の とか あと は 今後 はそ の あらゆる もの が 情報 が 埋め込ま れる 社会 って いう ので あのやっぱりスマホ使われる人が多いので そういう もの に もっと 興味 を 持っ て もらえる よう な 時代 が 来る と 思うので より そういう 原始 的 な もの っていう の が 新た に 注目 さ れる 時代 が 来る ん じゃ ない か な と なって思たので挙げて 単に 今 まで 作っ て いる だけ っていう 体験 以外 に も 何 か もう少し まだ アイデア 浮かん で ない ん です けど もっと 何 か 違う もの が 派生 でき たら いい な と は 思い ます ので 思い ます はい 以上 です。;discussion;d;O;10;80;H;R
0.35.17;0.35.22;0.00.05;81;何 か 縄文 時代 とか 縄文 土器 とか も 何 か リソース で あっ た 気 が し ます し いろいろ 何 か でき そう です ね;discussion;d;O;11;80;R;H
0.35.23;0.35.41;0.00.18;82;何 か これ 一 個 例えば ニーズ と メイン の 課題 みたい な 見つけ た あと も 下 の 方 に 移し た やつ 全部 消さ ず に 取っ て おい た 方 が 何 か の ヒント に なり そう です ね 今 の 話 だ と 何 か 関連 相乗 効果 みたいなの が あっ た んで;discussion;d;O;12;81;A;all
0.35.43;0.35.43;0.00.00;83;ぜひ;discussion;d;G;13;82;R;A
0.35.45;0.36.43;0.00.58;84;私 の 方 も 何 か ニーズ と 直結 し な さ そう な もの も いろいろ 書い て み て い ます 例えば 場所 的 な ところ だ と 何 か 山浦 ステイ みたい な 山の上 に 古 民家 一棟貸し が でき ます みたい な ところ で あっ たり だ と か 湖 の ほとり に 北欧 っぽい 雰囲気 の 宿 が あっ たり し て 何 か 野原 が 付い て い て コテージ も あっ て ハイキング も できる よ みたい な ところ が あっ たり か 空 飛ぶ 泥 舟 って 書い て ある の も 何 か 船 が 吊っ て あっ て 何 か すごい アート っぽい ん です けど 何 か それ も どう 使っ て いい か わかん ない けど でも 場 が ある こと によって 何 か ねえ 展開 が いろいろ でき そう だ な と 思っ て 見 て まし た あと 寒晒し そば とか その 辺 の 食べ物 の こと も 書い て ます けれども 何 か そば 打ち って 何 か 退職 し た 男性 の 手 に 職 じゃ ない けれども 何 か そういった こと に も なっ たり ボケ 防止 に も なっ て いく ん じゃ ない か な と か 何 か 地域 の 人 が お 仕事 を通して 何 か 社会 と 繋がっ て いく とか 役割 が ある みたい な 状況 って すごく 面白い かも と 思い ながら そういった もの も 挙げ て み て いる っていう 状態 です。;discussion;d;O;14;84;R;all
0.36.47;0.37.11;0.00.24;85;ござい ます。 あ 多分 さっき の 空 飛ぶ 泥 船っていうのも 多分 他 の あと 茶室 2 つ ぐらい ある ん です けど そこ と 何か コラボ し て 今 一応 やっ てる みたい です 有名 な 茅野 市 出身 の 藤森 照 信 さん っていう 建築 の 方 が 作ら れ た もの で ツアー に も 一応 は なっ てる みたい な。;discussion;d;R;15;84;H;R
0.37.11;0.37.13;0.00.01;86;あ そう な ん です ね.;discussion;d;E;16;85;R;H
0.37.13;0.37.13;0.00.01;87;値段 高い んで.;discussion;d;R;17;86;H;R
0.37.15;0.37.15;0.00.00;88;そうな ん です か.;discussion;d;V;18;87;R;H
0.37.15;0.37.15;0.00.00;89;2万円超えるのでどうかなと思ったんですけど;discussion;d;O;19;88;H;R
0.37.19;0.37.21;0.00.02;90;でも めっちゃ 気 に なっ て ますた 面白 そう と思って;discussion;d;O;20;89;R;H
0.37.23;0.37.28;0.00.05;91;藤森 さん は 有名 だ よ ね。 も よく ご存じ って 感じ です ね 笑;discussion;d;O;21;90;Y;H
0.37.30;0.38.30;0.01.00;92;何 なんか 結構 リソース 調べ て て 感じ た の は 何 だろ う 結構 上位 検索 とか メイン で 何 個 も いろんな サイト に 出 て くる もの って 結構 な ん だろ う どこ の 地域 に でも ある よう な こと が 結構 ある な って いう の を 感じ て て もっと 希少 な 例えば 諏訪 に しか ない 魅力 だっ たり っていう の は 本当は たぶん 行っ たら 私 たち も わかる と 思う ん です けど ケータイ 上 の 検索 伝い の リソース って 多分 氷山 の 一角 な ん だろ う な っていう 風 に 思っ た 長 さ が もどかしかっ て 調べ て て と 他 の 移住 を 考え てる 人 とか その 土地 に 魅力 が ある か 知り たい 人 って 検索 から 始める と 思う ん です けど 今 の コロナの時代って そん 時 に 伝わら ない の って どう な ん だろ う な っていう 今 なんとなく 今 思っ た んで 言った ん です けど あんま 関係 なかっ た かも しれ ない 笑 もう;discussion;d;O;22;92;A;R
0.38.30;0.38.40;0.00.10;93;めっちゃ それ 同感 と いう か 表面 的 な こと しか 出 て こ ない な って いう の は 凄く 困っ た こと でし た ね 何 か 検索 の 仕方 で 変わる の かも しれ ない ですけど;discussion;d;GO;23;92;R;A
0.38.40;0.39.01;0.00.21;94;逆に言っても も やっぱり 地元 に い て も. 地元 に いる と これ が 当たり前 な のに気づかないといったところもあるよ思うね。 な んで やっぱり 外から の 目 で 見る と あ これ 凄い新鮮だね　我々 にとっては こなの 当たり前 だ よ みたい な こと も ある と 思うんだよね そういう 視点 で いろいろ 探し てもらうって すごく 大事 な こと だ と 思うんですよね;discussion;d;O;24;93;Y;R
0.39.04;0.41.06;0.02.02;95;ちょっと良いです か 一 通り 今 青 を 出す っていう 作業をやられていると 思う ん です けれども。 結局 この 諏訪 エリア の リソース を 活用 し て 皆さん が えーと スタート アップ を この 諏訪 エリア で 立ち 上げる っていう 想定 な ん です ね やっぱり 大切 な の は 上 の オレンジ に なっ て く の か な って 思う ん です ね つまり 皆さん は 何 を し たい の か どんな こと を し たい の か どんな パッション を 持っ て いる の か どんな 強み を 持っ て いる の か あそこ それで 結構 スタート アップ が やる べき こと っていう か 方向 性 決まっ て くる と です よ ね その 上 で やっぱり どういう リソース が 活用 できる の か あるいは どういう いい ソース が 必要 な の か っていう の が 見え て くる って 部分 も ある と 思うんです 今 青 は なんとなく ねこう 一般 論 で 出し てる ん だ けれども 今度 は 自分 ごと として 青 を 見 て いく と する と ね もう ちょっと この 青 深 掘り し なきゃ いけ ない っていう の は 出 て くる と 思う ん です よ それ は さっき 言わ れ た その Webをねね インターネット 空間 で 検索 する とき に 目的 意識 を 持た ず に ただ 見 て いる の と 何 か 自分 たち が 事業 を 起こす ため に 必要 な もの を 探す っていう 見方 で 見 て いく の で は 結構 やっぱり 違い が 出 て くる と 思う ん です ね 例えば この エリア に いろいろ 魅力 的 な 企業 が ある ん だ けれども そこ を 調べ て ないですよね あんまり それ は やっぱり 目的 意識 を 持っ て ない から それで 調べ られ ないんだと思うんですよ な ので 私 の 提案 として は ここ で ちょっと オレンジ を みんな で 議論 し て 自分 たち は 誰 な の か どんな こと し たい の か どんな パッション を 持っ て いる の か っていう こと を 想定 の 話 で は ある ん だ けれども。 そうすると どんな 青 が 必要 に なっ て くる か って いう の が 見え て くる よう な 記述 って ちょっと 一 回 オレンジ を 議論 し て は どう でしょ う か ね;plan;i;P;1;95;I;
0.41.07;0.41.08;0.00.01;96;はい やっ て み ます;plan;a;V;2;95;R;I
0.41.08;0.41.11;0.00.02;97;はい ござい ます と なり ます。;plan;a;V;3;96;A;I
0.41.12;0.41.20;0.00.08;98;そしたら この オレンジ の ところ また それぞれ で 書い て いっ て み ます か 5 分 ぐらい 何 か バイト の 面接 みたい です けど 何 か 得意 な こと;plan;a;P;4;97;R;all
0.41.21;0.41.26;0.00.05;99;これ は 私 たち の グループ です か それとも 自分 の こと です か;plan;a;Q;5;98;A;R
0.41.26;0.41.27;0.00.01;100;自分 の こと で 言っ た もの.;plan;a;A;6;99;R;A
0.41.27;0.41.29;0.00.01;101;自分 の こと 分かり まし た。;plan;a;V;7;100;A;R
0.45.49;0.46.01;0.00.12;102;すごい いっぱい 出 まし た ね。 また もう ちょっと 時間 を 欲しい 人 い ます か;plan;a;EQ;1;102;R;all
0.46.03;0.46.03;0.00.00;103;僕は大丈夫 です。;plan;a;A;2;102;T;R
0.46.14;0.46.16;0.00.02;104;私 も 大丈夫 です。;plan;a;A;3;102;R;all
0.46.42;0.46.44;0.00.02;105;じゃあ 所 さん で 来 たら また 教え て ください。;plan;a;I;4;104;R;A
0.47.26;0.47.27;0.00.01;106;どんどん 整理 さ れ て いく。;plan;a;E;5;106;R;
0.47.58;0.48.08;0.00.10;107;ちょこちょこ 追加 も し つつ 準備 が でき た 人 から 話し て いき ます。 どなたでも 。;discussion;d;I;1;107;R;all
