In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.06.10;0.06.12;0.00.01;12;はい 分かった;plan;a;V;8;11;Z;B
0.07.30;0.07.39;0.00.10;13;す い ませ ん。 情報 が を 埋め込まれる社会を を もう少し 下 に おい て もらい ます か 場所 が なく て すいません;plan;a;I;1;13;Z;all
0.07.42;0.07.42;0.00.00;14;大丈夫 情報化;plan;a;V;2;13;B;Z
0.07.45;0.07.45;0.00.00;15;埋め込まれる社会;plan;a;O;3;15;Z;B
0.09.39;0.09.39;0.00.00;16;これか これは.;plan;a;O;4;16;B;
0.11.55;0.11.55;0.00.00;17;できました;plan;a;R;5;17;Z;all
0.11.57;0.11.59;0.00.02;18;おっけー 他 の 方 も 大丈夫.;plan;a;VQ;6;17;B;all
0.11.59;0.11.59;0.00.00;19;大丈夫です;plan;a;A;7;18;N;B
0.12.02;0.12.27;0.00.24;20;一応 終わっ た でしょ う か。 よしじゃあ 簡単 な ところ から 埋めて いこ う という こと で 一番 上 の 強み だ。 それぞれ と 何 だろ う 特技 とか これ だけ を  負け ない とか 今回 の この プロジェクト に 生かせ そう な 得意 技 を 1 つ この オレンジ の欄 に 書いてみて ください。;plan;a;I;8;19;B;all
0.12.36;0.12.39;0.00.03;21;私 強み に  書き ますね;plan;a;O;9;20;Z;B
0.12.40;0.12.40;0.00.00;22;うんおっけー;plan;a;V;10;21;B;Z
0.13.18;0.13.27;0.00.09;23;順調 に Fチーム も コピー でき て ます ね;plan;a;R;1;23;I;
0.13.28;0.13.28;0.00.00;24;はい;plan;a;V;2;23;B;
0.13.30;0.13.37;0.00.07;25;一番 右側 が 黄色 に なる よう に グレー を あの 黄色 より 左側 に 置い た 方 が 後で アイデア 発想 し やすい と;plan;i;O;3;24;I;
0.13.38;0.13.38;0.00.00;26;分かりました移動しておきます;plan;a;V;4;25;B;
0.13.42;0.13.42;0.00.00;27;お願いします;plan;a;I;5;26;Z;B
0.13.46;0.13.48;0.00.02;28;で あれ です か ね もう そろそろ 青 に 入っ て いくのかな;plan;i;Q;6;27;I;
0.13.49;0.13.52;0.00.03;29;はい ここ が 一番 本題 に 時間 を かけ たい な と 思っ て いる ので;plan;a;A;7;28;B;
0.13.52;0.14.15;0.00.23;30;はい 素晴らしい その 調子 で やっ て み ませ ん。;plan;a;O;8;29;I;
0.15.50;0.15.50;0.00.00;31;できた;plan;a;R;1;31;Z;all
0.15.52;0.16.46;0.00.54;32;えーと よし じゃあここ から 本題 に 入っ て いこ う 今 が 9 時 32 分 で 10時 42 分 まで に この 青い 諏訪氏茅野市 の リソース を できる 限り 多く 出さ なけれ ば いけ ませ ん という こと で と  調べる 時間 を とっ て も いい です し あと は 考え たり し て も いい の で 各自 3 個 以上 は この 諏訪氏茅野市 で 使える 観光 資源 とか あと こういう 場所 ある よ とか こういう 人々 が いる よ とか という 魅力 に うつる もの を 挙げ て み て ください ここ が 一番 重要 で ここ から どういう アイデア を この後  作っ て いく か って いう の が 分かれる と 思う ので ここ で いかに 出せる か と このあと  分け目 を 分ける ので ここ に 時間 を かけ て いき たい と 思い ます って という こと で 簡単 に まとめる と 3 個 以上 諏訪市茅野市の 魅力 を 出し ましょう.;plan;d;I;2;31;B;all
0.16.54;0.16.59;0.00.04;33;諏訪市 と 茅野市 を 分け て 出すん です か それとも 両方 を 合わせて出すんですか;plan;d;Q;3;32;Z;B
0.17.01;0.17.12;0.00.11;34;どちら が いい ん でしょう 高坂さん 諏訪氏と茅野市って たぶん 違い が 分かれる と 思う ん です けど ふたとつ まとめ た 広域 連合 の 方 が いい です か それともそれぞれ分けた 方 が いい です か を;plan;d;O;4;33;B;N
0.17.12;0.17.18;0.00.07;35;諏訪か茅野か かっこ で 書い て いただけれ ば わかり やすい んじゃ ない か な;plan;d;O;5;34;N;B
0.17.20;0.17.20;0.00.00;36;なるほど.;plan;c;E;6;35;B;N
0.17.20;0.17.20;0.00.00;37;だそうです;plan;c;O;7;36;B;Z
0.17.22;0.17.22;0.00.00;38;はい分かりました;plan;c;V;8;37;Z;B
0.17.33;0.17.41;0.00.08;39;結果 諏訪市と茅野市の ノート を まず 二つ出して そして みんな が その 下 に 書き込ん だ 方が良いんじゃないですか;plan;d;P;9;39;Z;all
0.17.43;0.17.50;0.00.07;40;ああ　頭良い確かにちょっと待ってね ささっと 茶色 で 作っ ちゃい 諏訪氏と茅野市.;plan;c;O;10;39;B;Z
0.17.52;0.17.52;0.00.00;41;ありがとう;plan;c;T;11;40;Z;B
0.17.54;0.17.54;0.00.00;42;あのこれ茅野市って読むのねずっとまきのしと呼んでた自分が恥ずかしいわ;plan;d;O;12;42;B;all
0.17.59;0.18.00;0.00.01;43;読め ない ん よね読めるはずがない;plan;d;O;13;42;N;B
0.18.01;0.18.01;0.00.00;44;そうですね;plan;d;G;14;43;Z;B
0.18.14;0.18.18;0.00.04;45;両方 とも に 属する  なら  真ん中 に 置い て も 良い と;plan;c;O;15;45;Z;all
0.18.18;0.18.20;0.00.02;46;ああ なるほど.;plan;c;E;16;45;B;Z
0.18.21;0.18.21;0.00.00;47;あ広域.;plan;c;O;17;46;Z;
0.37.18;0.37.26;0.00.08;48;だいたい 大丈夫でした 終わり まし た  もう ちょっと 時間 とるか。;plan;d;Q;1;48;B;all
0.39.59;0.40.00;0.00.00;49;僕 は これ で できたかな;plan;d;A;2;48;N;all
0.40.03;0.40.03;0.00.00;50;私もです.;plan;d;A;3;48;B;N
0.40.03;0.40.04;0.00.00;51;伊藤 さん はどうですか;plan;d;Q;4;51;B;H
0.40.05;0.40.05;0.00.00;52;大丈夫です;plan;d;A;5;51;H;B
0.40.08;0.40.09;0.00.01;53;ああでチョウさん は 大丈夫.;plan;d;Q;6;52;B;Z
0.40.09;0.40.10;0.00.00;54;大丈夫です私.;plan;d;A;7;53;Z;B
0.40.10;0.42.25;0.02.15;55;よし ここ から が 難しい ところ で 黄色い ところ に 願望 つまり 人々 が こういう もの を 望む だろ う な って 願望 が あっ て 青い 部分 に も 出し て もらっ た 部分 に 実際 に まきのし のと ごめんまきのしじゃない茅野市 茅野市 と 諏訪市 が 提供 できる リソース が ある の ね だから と 実際 に その ある もの を 使っ て どの よう に すれば願望 を 叶える こと は できる か という の を 考え て いく の ここ が 一番 難しい ところ で これ で 失敗 する と 終わる 私 は 去年 これ に 参加 し て 違う 方向性の 本庄地域 だっ た ん だ けど ここ で 失敗 し て も 全部 が なだれて落ちて グループ が 分かれ て っ て み たい な と 最悪 の 状態 に 陥っ た から ここ で は 失敗 し て ほしく ない という こと で 一つ 例 を 見 せ ます 例えば と 黄色 の 部分 昨日 出し て もらっ た 仕事 と プライベート と 分離 し たい という 希望 が ある じゃない それ を 叶える ため に 行っ ちゃう まきのしで 何が できる ん だろ う か っていう 今 出し て もらっ た 部分 を 見 てみる  そうすると えっと これ か な エルビア 牧野 という の が 実はと 茅野 市 に あっ たり する で これ は 駅通り に ある 商業 施設 アクセス が 非常 に いい が 空き店舗 が 目立つ 空き テナント が 目立ち ここ は と 空き テナント が ある から これ を 働く スペース に 改善 でき ない か で かつ 近く に 観光 都市 とか が あれ ば と 働く こと も でき て 働き 終わっ たら 家 に 観光 とか も でき て 働く の  プライベート と 仕事 を 分離 する という 希望 を 叶え られる ん じゃ ない か という 実際 の ピンク の 事業 計画 は 出来上がっ て くる の ね みたい な 感じ で この 青い やつの 中 で 黄色 の 希望 を 叶える ため に 使える もの を 探し て い て じゃあ 実際 に どういう 風 に し たら この 黄色い 希望 が 叶え られる の か という の を ここ から 出し て いき ます って さっき も 言っ た よう に ここ が 一番 重要 で ここ で 失敗 する と 去年 の 私 見かけ 最悪 の 結果 に 終わり ます 。 ほんと去年は早稲田本庄 本庄市で やっ た ん だ けど 散々な 結果 に なり まし た。;discussion;d;O;1;55;B;all
0.42.32;0.42.34;0.00.02;56;ピンク を 出し て いく って 感じ です か;plan;d;Q;2;55;Z;B
0.42.35;0.42.41;0.00.06;57;そう この 黄色 の 希望 を 叶える ため に 使える 青い 部分 を 合わせ て く って 感じ;plan;d;A;3;56;B;Z
0.42.41;0.42.41;0.00.00;58;はい;plan;d;V;4;57;Z;B
0.51.47;0.51.49;0.00.02;59;今 Fチームは どんな こと を やっ て るん です か;plan;i;Q;1;59;I;
0.51.51;0.51.55;0.00.04;60;ピンク色 の 案 の 部分 を 出し て いる ところ です.;plan;i;A;2;59;B;
0.51.57;0.51.57;0.00.00;61;ピンク色.;plan;i;E;3;60;I;
0.51.58;0.51.59;0.00.01;62;ハイ ピンク で;plan;i;O;4;61;B;
0.51.59;0.54.04;0.02.05;63;アイデア 出し って こと。 ハイ アイデア 出し は 次 次 の ステップ で やろ う と 思っ てる ん だ けれども 速い 速い 早い っていう の は いい こと だ けど ちょっと 質問 な ん だ けど ね。 いや すごく Fチーム 良い 感じ で 進んでる と 思う ん です けど 自分 たち の 強み って オレンジ で 出し てる じゃ ない です か やっぱり それ は 素晴らしい と 思う ん です けど その 自分 たち の 強み を 活かし て スタート アップ で 事業 を 興す って 言っ た とき に もう 一 回 青 を 見直し て みる と ね 青 は どちら か と いう と 最初 は 一般 論 として こう 上げ てる ん だ と 思う ん です よ 誰 が 見 て も 魅力 的 な リソース って わかっ てる と 思う ん だ けれども じゃ オレンジ の 自分 たち の 強み を 活かし て こんな スタート アップ を 起こそ う っていう ね 具体 的 な 事業 は まだ この あとに 発想するん だ けど なんとなく みんな の パッション とか さあ 目指す べき 方向 性 みたい な ある 点 が 見え てる と 思う ん だ けど じゃあ その とき に この 青 の 中 で どういう 青 を 扱い そう な の か とか ね いう こと を 考える と する と 今度 は 自分 ごと として青を見てみるわけですね そう 考える と 結構 なんか 他 人事 として 見 て た 青 と 比べる と なんか 情報 が 足り ない って いう か もっと 深堀 し なきゃ いけ ない こと も ある よう な 気 が する ん だよね 例えば この エリア に も さ いろいろ な 魅力 的 な 企業 が あっ て そういう 企業 が ある こと が ここ の 優位 性 で も あっ て それ を 皆さん の 青 見る と 何 か 精密 機械 工業 とか さ 産業 の 町 とか そんな こと しか 書い て ない ん だ けど ここ の ところ は なんか ひょっと する と もっと どんな 企業 が 今 存在 する ん です か どんな 企業 が どんな 製品 を 作っ て どんな 技術 を 持っ てる ん です か みたいなこと知っておいても良いかなって気もしたりするわけ;plan;i;O;5;62;I;
0.54.09;0.54.14;0.00.06;64;なるほど より 詳しい 情報 を もっと 集め た 方 が いい って こと です か;plan;a;Q;6;63;B;
0.54.15;0.55.06;0.00.52;65;そう だ ね 何 か 見る と なんか こう 表面 的 な と いう か さ ネット で 検索 する と 確か に こういうの 出 て くる よ ね っていう こと な ん だ けれども それ は それ で いい ん だ けれども でも 自分 たち が 事業 を 起こす と なっ たら この 企業 と コラボ し なきゃ いけ ない とか この 企業 と 一緒 に やっ たら 自分 たち の やり たい こと が できる よう に なる みたい な こと って ある と 思う ん だ けど そこ まで 何 か 情報 が 深 掘り さ れ て ない よう な 気 も する んで 笑 少し 自分 事 として 青 を 見直し て 企業 を 興す と し たら どこ どこ 何 を 使う の か 使う と なっ たら もっと 知ら なきゃ いけ ない と 思う ん だ よ ね。 なので 少し 青 の 深 掘り っていう か さ 自分 ごと として 青 を 少し 見直し て みる と いう か 深堀 し て みる みたい な それ が 何 か アイデア 出し の 前 に 必要 な よう な 気 が する どう でしょ う.;plan;i;AO;7;64;I;
0.55.08;0.55.22;0.00.15;66;確かに そしたら 今 は たぶん 諏訪市 と 茅野市 の それぞれ 仕事 に 主 に 観光 資源 とか を 出し て い た ん です けど さらに 企業 と 行政 に 分け て より 情報 を 集め た 方 が いい って こと で合ってます;plan;a;Q;8;65;B;
0.55.24;0.56.10;0.00.46;67;まあ そこ は ちょっと 自分 事 として 何 が どんな リソース が 必要 な の か って だいたい こう 考え て み たら いい 思う から ね 例えば ネット 活用 し て 何 か 自分 たち が 事業 を やる ん だ と する と さ ネット の IT 環境 なり サービス なり を 全部 自分 たち で 立ち 上げる の は とても 大変 じゃ ない です か 一緒 に やれる ところ が あっ たら 一緒 に やっ たら いい じゃん そんな 企業 は ある の か とか そういう こと を 見 て いく って こと で あんまり その なん という か な そういう 風 に 網羅 的 っていう か 全体 的 に 構造 的 に 調べる って いう より は ピン ポイント で 自分 たち が 欲しい もの は 何 か 使い たい もの は 何 か そこ について の 情報 を もっと 詳しく 知る って 言っ て ね;plan;i;O;9;66;I;
0.56.11;0.56.11;0.00.00;68;はい.;plan;a;V;10;67;B;
0.56.13;0.56.13;0.00.00;69;はい.;plan;a;V;11;67;I;
0.56.27;0.56.32;0.00.05;70;僕 が 一番。 この 辺 詳しい と 思う ので 一つ 一つ で 深 掘り し て いき ましょ う か。;discussion;d;P;1;70;N;all
0.56.33;0.56.34;0.00.01;71;お願い し ます すいません;discussion;d;I;2;70;B;N
0.56.36;0.57.49;0.01.13;72;じゃ まず 諏訪市 から まず水 が 作っ てる ネットワーク って とこ に関して は もう あんまり 意外と 天竜川 みたい に 川下り とかいう もの は 意外と 少なく て 川 に関する 諏訪湖 に関して は 諏訪湖 周辺 で いろんな 産業 を 商業  商業 産業 後 観光 も すべて の もの が 揃っ て て  それ に 合わせ て 工場 も たくさん ある みたい で 次 上諏訪 温泉 は ご存じ の 通り 上諏訪 温泉 が あっ て やっぱり 一番 の メリット は かなり 町 に 近い 温泉 って こと か な と 本当に 住宅 街 と 観光 地 は 本当に 融合 し て 混在 し て いる 感じ の が 特徴 の せい か な と 思い ます。;discussion;d;R;3;71;N;all
0.57.54;0.58.03;0.00.09;73;皆さん は その 住む ところ と 観光 地 が 一緒 に いる の が いい と 思っ て いる の か それとも ちょっと うるさい とか 思っ て いる ん ですか;discussion;d;Q;4;72;Z;B
0.58.05;1.00.38;0.02.33;74;そうですね 実際 住ん でる と やっぱり 車 が 土日 は すごい 多く なっ たり とか. やっぱり 今 の コロナ の 状況 だ と すごい 不安 を 感じ たり とか。 あと は。 やっぱり。 うん と ね。 公共 交通 機関 が 結構 観光 地 寄り の 公共 交通 機関 に なっ て て あんまり 便利 じゃ ない ていう面 が やっぱり 進ん で て 感じる か な っていう ところ. です  これ に 関連 し て この 諏訪 広域 の 一番 上 に 僕 が 書い た アル ピコ 交通 これ は 茅野 と 諏訪 の 市内 の 路線 バス を あとタクシー も やっ て て も 本当に 観光 地 に 1000 m  1000 m まで バス 路線 が 走っ てる ぐらい かなり 活発 な 交通 網 引い てる。 ただ さっき 言っ た よう に やっぱり 観光 者 向け の バス 路線 が 多く て. もう. ちょっと 市民 は 使い にくい 路線 も ある か な って いう の は すごい 感じている か な.  アルピコ 交通 さん に 頼れ ば そういう 交通 網 に関して は いろいろ 便宜 を 図っ て くれる か な っていう のがあるよね 次に 高島城  高島城  は もう 書い て ある 通り 桜 の 名所 で かつ かなり 街 に 近い あんまり 人 も 来 ない し で 僕 も 時々 行っ たり し ます 霧ケ峰 高原 も バス が 通っ てる ん です よ。 実は 霧ヶ峰 すごい 2000 メートル 級 の 山 の 高原 な ん です けど ここ に も その 人 の キャンプ 事情 も そう な ん です けど 一番 アクセス が すごい 町 から 登っ て 僕 の 家 から だいたい 1 時間 かから ない 40 分 ぐらい か な すごい 近い ん です よ で 道 も ちゃんと 通っ て て。 で 次 ホーム に ある 足場 っていう の は おそらく どこ か な 上諏訪 か茅野 で は ない よう な 気 が する。.;discussion;d;O;5;73;N;all
1.00.40;1.00.41;0.00.02;75;うん そう な ん です わ。.;discussion;d;G;6;74;Z;B
1.00.42;1.01.02;0.00.20;76;それ まで ちょっと これ わから なく て どこ の 駅か  そんな駅あったかなとか思って ちなみに何駅  でし た。 上諏訪か やっぱり。.;discussion;d;O;7;75;N;all
1.01.05;1.01.06;0.00.01;77;そうですね. 笑.;discussion;d;G;8;76;Z;B
1.01.07;1.02.25;0.01.19;78;上諏訪ねぇ へー知らなかった。  もう 至る ところ に 温泉 が ある っていう の は 間違い なく て 実は サービス エリア に も 近く の サービス エリア に も 温泉 が 入っ てる 。 という こと で やっぱり 温泉 を 起点 と し た 観光。 その 観光 事業 っていう の は すごい あり か な と 思っ て 温泉 を まとめる パンフレット だ と か。 温泉 めぐり チケット だ と か っていう の は 面白い ん じゃ ない か な。 あと 酒 味噌 高原 野菜 これ は もう 言わずもがな 宮坂醸造さん を はじめ いたる ところ に 酒場 が 酒場 じゃ ない あの 酒蔵 が あっ て でも アクセス が 非常 に 悪い ん ですねこれ そう逆 に こっち は 道 の ど この すごい 道 沿い に あっ て 駐車 場 が なかっ たり とか。 味噌 屋 さん も 好調 な ので あんまり 観光 者 向け に 作ら れ て ない.  売っ てる には ある に は ある けど 行き にくい めちゃくちゃ 行きにくい.;discussion;d;O;9;77;N;all
1.02.27;1.02.31;0.00.04;79;そしたら ここ って かなり いい 改善点 に なり そう じゃ ない です か.;discussion;d;O;10;78;B;N
1.02.31;1.03.15;0.00.44;80;そうですね. 今 は お 酒 味噌 高原 野菜は あの アレ が ある ん です よ 直 直売 所 いわゆる 農家 の 人 が 持っ て き て そこ で 売る 場所 が 多い。 そこ に関して は かなり アクセス 良く て 駐車 場 も 広く て。 っていう の は ある ん です けど 酒 味噌 に関して は かなり 宝 の 持ち腐れ と いう か ある けど 行き にくい みたい な っていう の が あり ます ね。 その 下 が 合わせ ませ ん ね ちょっと. 精密 機械 工業 これ は もう諏訪 というより 茅野 も 結構 たくさん あっ て。 もう セイコーエプソン は ご存知 です か。 プリンター の.;discussion;d;OQ;11;79;N;all
1.03.16;1.03.16;0.00.01;81;すいません 知り ませ ん.;discussion;d;A;12;80;B;N
1.03.18;1.04.04;0.00.46;82;エプソン っていう 超 有名 全国 的 に も 超 有名 な 企業 は 諏訪 上諏訪 諏訪 に あっ て あと もう 世界 的 に 有名 な 半導体 メーカー が 最近 また 茅野で 工場 を 広げ たり し て もう 精密 機械 だっ たり 半導体 に関して は もう どこ に も 負け ない ぐらい 強い って 実際 の ウチ の 大学 諏訪 東京理科大学 で も だから 今日 も いる ん です けど 市川 先生 は その 地域 の 企業 と 連携 し て コンピューター ちっちゃい コンピューター を 作っ て た と 独自 の。 それ を 持参 販売 し て い た という 実績 が ある みたい に.;discussion;d;O;13;81;N;all
1.04.05;1.04.07;0.00.02;83;サイズ が 小さい って こと です。.;discussion;d;Q;14;82;Z;N
1.04.08;1.05.10;0.01.02;84;そうですねそこ まで あの 機能 は 多く ない けど ある程度 モーター を 動かす だ と か っていう の が できる よう な 制御 できる よう な もの を 大学 と 連携 し て 作っ て たり も し た。 茅野 で かなり あのー 大学 挟ん で 起業 化 に も て に は いろんな もの を 作れる ん じゃ ない か な って いう ので 産業 の 街 で この 人 の 諏訪湖 花火 大会 も 今 ちょっと 大学 の 方 で 今 は いろいろ。 どう しよ う か って いう の を 考え て。 と 思わ れる ん だ けど やっぱり 今 中止 に なっ て て 大勢 が 集まる イベント で も ある ので やっぱり これ を いかに し て お金 を 集め ながら どう 人 が 集まら ない よう に 開催 する か って いう の を 今 すごく 考え て て これ は かなり  諏訪 市 と 茅野 市 の 行政 の 方 も 案 を 出し て くれ っていう こと で 今 大学 に も 話 が 来 てる.;discussion;d;AO;15;83;N;all
1.05.11;1.05.16;0.00.05;85;から うち も そう 花火 大会 近く で やる ん です けど 荒川 が ある ので.;discussion;d;O;16;84;B;N
1.05.16;1.05.16;0.00.00;86;ああ 荒川はいはい;discussion;d;E;17;85;N;B
1.05.18;1.05.29;0.00.11;87;今年 は  あの 大きな花火は打ち上げずに 手持ち 花火 を みんな に 配っ て それで 距離 を とっ て 花火 やっ て まし た 笑。.;discussion;d;O;18;86;B;N
1.05.29;1.05.29;0.00.00;88;へー;discussion;d;E;19;87;Z;B
1.05.31;1.05.31;0.00.00;89;地味でしょ普段と比べて 地味.;discussion;d;O;20;88;B;Z
1.05.33;1.05.33;0.00.00;90;そうですね;discussion;d;G;21;89;Z;B
1.05.35;1.05.47;0.00.11;91;でもを 普段 に 戻し ながら どう 開催 する か 例えば うち の 大学 で 出 た ん だ と やっぱり VR を 使っ て 有料 型 の 配信止 に しよ う みたいな.;discussion;d;O;22;90;N;all
1.05.48;1.05.49;0.00.01;92;良い かも ね.;discussion;d;G;23;91;B;N
1.05.50;1.06.12;0.00.22;93;っていう 案 が 出 たり の ほう が かなり 現実味 の ある 課題 課題 と いう か。 今 諏訪湖 マラソン は もう 市民 が 参加 する すごい 諏訪湖 一周 する ぐらい ハーフマラソン で かなり 走る ん だ けど 皆 市民 の 皆さん は その 時期 に なる と 参加 する。;discussion;d;O;24;92;N;all
1.06.13;1.06.17;0.00.04;94;これ 昨日向井先生が 話し て くださっ て これ だけに 3分以上 かけ て まし た;discussion;d;O;25;93;B;N
1.06.19;1.08.21;0.02.02;95;みんな 参加 する ん です  みなさん やっぱり 諏訪湖 の 周り を 走れ っていう の が 結構 ジョーク に も 使わ れる ぐらい ちょっと 諏訪湖 1週走っとい て  ぐらい の すごい  フランク な 感じ で 諏訪湖 の 一周 周 する っていう の は 何 か メジャー に なっ て ます よ ね 次 サイクリングロード  これ は 最近 かなり 整備 が 進ん で き て 今 も まだ 工事 が 工事 やっ て て 目標 として は やっぱり 諏訪湖 一周 全て サイクリングロード を 整備 する っていう ので今 至る 所 へ 工事 を やっ てる とこ です ね でも この 関係 で トライアスロン とか も やっ て ます し 実は マラソン の 他 に トライ アスロン も やっ てる ん です よ。 自転車 関係 の 集客 っていう の は 見込める か な この 高齢 化 って いう の が 何 か な って いう の も あり ます けど 高齢 化 に関して は やっぱり。 どう だろ う な やっぱ 街。 高齢 者 が かなり 街 に 外れ た 町外れ の 街 に 住ん で い て 移動 手段 が ない って いう の は かなり 深刻 な 問題 で それ に 関連 し て 今 のら ざあ って の が どっか に 書い て ある ん です けど これ 乗合 タクシー。 とも ピン と くる か わかん ない です けど 僕 も 乗っ た こと が あっ て うち の 子 で 今 実証 実験 し て いる のらざあ っていう の が あっ て スマート フォン で ここ に 来 て くれ って 言う と 来 て くれ て かつ 他 の 人 も 乗せ て ながら 走る 跨 次世代 型 と いう か 新しい 形 の タクシー.;discussion;d;R;26;94;N;all
1.08.23;1.08.24;0.00.01;96;Uber. 的 な 感じ です か。.;discussion;d;Q;27;95;B;N
1.08.25;1.11.01;0.02.36;97;あ そう そう な の か な ごめんなさい Uber タクシー あんまり ピン と この へん Uber まったく ない ので ピン と 来 ない です けど それ に 近い 感じ です 結構 大きな ハイ エース。 だいたい 8 人 乗り ぐらい の タクシー が 来 て そこで いろんな とこ で 人 の せ ながら 例えば 駅 に 行っ たり とか 近く の スーパー に 行っ たり とか っていう よう な タクシー です ね え 次 茅野 市 ちょっと 下 から いき ます ね この 行政 政策 に 力 を 入れ て いる って の は まさに そう で 観光 面 において も 行政 子育て など において も かなり 力 を 入れ て て この のらざあ っていう 取り組み も 茅野 市 が やっ て て あと その 上 の 茅野 市 スマート シティー 構想 っていう の も あっ て この のらざあ を 含め た いろんな スマート シティー 住み やすい 街 を 作ろ う って こと で 最近 その 構想 が 発表 さ れ た っていう とこ で まち づくり っていう こと に関して は かなり 力 を 入れ てる んで その 上 の 子供 を どんぐり プラン この 辺 も 同じ よう に 子育て に も 力 を 入れ て 住み やすい 街 を 作ろ う という こと で この 一番 下 の 年寄り が 多い って の は 高齢 化 と 同じ よう に その 問題 に 〇 を つい て き て 農業 と 農業 体験 僕 の 知り合い とか 知っ てる こと に も もう 無 農薬 で 農業 体験 さ せ て くれる っていう 方 が い て やっぱり 子供 を 子供 たち とか 自分 自身 も そう です けど。 あのー 健康 な 野菜 を 提供 する で 健康 な 野菜 を 食べる っていう の が 結構 地域 住民 の 意識 として あり っていう の が 出 て ます その 上 結構 朝晩 25 度 以下 で かなり 涼しく て 過ごし 住み やすい 場所 です ね 土偶 に 関連 し て 縄文 遺跡 です ね かなり 縄文 遺跡 竪穴 式 住居 だ と か。 国宝 で も ある 縄文 の ビーナス だ と か かなり 重要 な 史跡 っていう もの が あっ て これ も 車 で 僕 の 家 から まず 目 の 前 に 資料 館 が １ 個 ある の と 車 で だいたい 十 五 分 から 十 五 分 ぐらい の ところ に 縄文 ナントカ 資料 館 見 た いの が。 ただ ここ は 客足 が 遠く て 全然 人 が 来 ない.;discussion;d;R;28;96;N;all
1.11.03;1.11.04;0.00.01;98;それ は な んで ですか;discussion;d;Q;29;97;B;N
