In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.03.23;0.04.02;0.00.39;17;直感で やっぱり そう です ね。 一番 最初 の ところ で 言う と。 うん。 やっぱ 結構 他 の ところ に も 共通 し てる ん です けど 結構 やっぱり 人間 関係 と いう か 繋がり みたい な 部分 は 結構 重要 な の か な っていう風に 個人 的 に は 思っ て い て。 それ を 支える よう な もの 中心 に つながり が あっ て それ を 支える よう な 形 な ので この あの左 から 2 つ 目 深い 人間 関係 より も 安い 家賃 みたい な ところ は 結構 重要 な ニーズ の 俺 って あり つつ。;discussion;a;O;4;16;N;all
0.04.06;0.04.07;0.00.01;18;これ さん でし た っけ。写すの。.;discussion;d;Q;1;18;T;N
0.04.09;0.04.09;0.00.00;19;あ すみません .;discussion;d;A;2;18;N;T
0.04.10;0.04.12;0.00.01;20;まだかリンク し ない と いけ ないのか;discussion;d;O;3;19;T;N
0.04.15;0.04.15;0.00.00;21;でもこれ ああリンクされてないのか;discussion;d;O;4;20;N;T
0.04.17;0.04.18;0.00.01;22;リンク さ れ てるか。;discussion;d;O;5;21;T;N
0.04.21;0.04.27;0.00.06;23;同。 これ は 移住 者 とかです よ ね と リンク は 。;discussion;d;O;6;22;N;T
0.04.30;0.04.30;0.00.00;24;あー;discussion;d;E;7;23;T;
0.04.41;0.05.00;0.00.19;25;結構 なんか 教育 っていう 部分 も 関わる とか 思う ん です けど まあ でも これ が 重要 か な という の は 思いますね に ちょっと 右側 の どれ に つながる か はちょっとあれな ん です けど 繋がるか リモート 教 リモート 授業とかもそうかな;discussion;d;O;8;24;N;all
0.05.03;0.05.03;0.00.01;26;難しいな;discussion;d;E;9;25;T;
0.05.06;0.05.18;0.00.12;27;でも オンライン化 の 進行 で テレ ワーク を 併用 し た 働き 方 っていう の は それ が 地方 の 移住 に つながる ん じゃ ない か な っていう ふう に。;discussion;d;O;10;26;A;N
0.05.18;0.05.22;0.00.03;28;なるほど 確か に 右側 の これ です ね.;discussion;d;O;11;27;N;A
0.05.22;0.05.22;0.00.00;29;はい 灰色;discussion;d;G;12;28;A;N
0.05.22;0.05.22;0.00.00;30;なるほど確かに;discussion;d;G;13;29;N;A
0.05.28;0.05.28;0.00.00;31;これ？;discussion;d;Q;14;31;T;A
0.05.29;0.05.32;0.00.03;32;あ それ か もう １ 個 ぐらい なんか;discussion;d;A;15;31;A;T
0.05.33;0.05.33;0.00.00;33;これかな;discussion;d;Q;16;32;T;A
0.05.34;0.05.37;0.00.03;34;それ の 斜め 左 に 左上あたりのやつとか;discussion;d;A;17;33;A;T
0.05.37;0.05.37;0.00.00;35;これ？;discussion;d;Q;18;34;T;A
0.05.38;0.05.38;0.00.00;36;はい;discussion;d;A;19;35;A;T
0.05.43;0.05.58;0.00.15;37;テレ ワーク の けんテレワーク併用の働き 方 へ。 これ と 深い 人間 関係。 リンクは;discussion;d;O;20;36;T;
0.06.02;0.06.14;0.00.12;38;ここ に 書いてあるの人間 関係 教育 後 は まあ テレワーク みたい な ところ だ と 思う ぞ 全部 詰まっ てる 感じ が ある ので それが いい の か な って。;discussion;d;O;21;37;N;T
0.06.14;0.06.16;0.00.01;39;確か に 全部 の 要素 入っ て るもんね;discussion;d;G;22;38;T;N
0.06.21;0.06.21;0.00.00;40;うんうん と。;discussion;d;G;23;39;N;
0.06.26;0.06.41;0.00.14;41;他 右側 あと DX 推進 の 加速 化 も 繋がり ます か ねそしたら右側の何か ここら へん に 書い て ある もの は大分 つながり ます ね。.;discussion;d;O;24;40;N;T
0.06.45;0.06.45;0.00.00;42;DX推進加速化;discussion;d;E;25;41;T;
0.06.46;0.06.49;0.00.03;43;今の テレ ワーク の やつ の 右側 に ある やつですよね;discussion;d;Q;26;42;A;N
0.06.50;0.06.50;0.00.00;44;そうですそうです繋いでおきました;discussion;d;A;27;43;N;A
0.06.56;0.06.56;0.00.00;45;OK;discussion;d;V;28;44;T;A N
0.06.58;0.06.59;0.00.01;46;まあじゃあ そしたら 増加する移住者とかはこういう感じで大丈夫かな;discussion;d;O;29;45;N;T
0.07.03;0.07.06;0.00.03;47;なんか教育 の こと とか書いてなかったけ 子ども を 少 人数制の学校あーそうかそうかあーOKです.;discussion;d;O;30;46;T;N
0.07.12;0.07.12;0.00.00;48;あと そうですね.;discussion;d;G;31;47;N;T
0.07.15;0.07.15;0.00.00;49;これ も繋がらないかな繋がらないか;discussion;d;O;32;49;T;
0.07.20;0.07.40;0.00.20;50;まあなんか 繋がる と 思っ たら どんどん 繋げちゃっ ていい と 思います。 冠婚葬祭。 これ 結構 そのあれですね 今後 海外 の 人 も 増え て くる っていう ふう に 考える と し たら 昨日シュウ さん は 言っ て くれ たその 冠婚葬祭 などの文化は;discussion;d;O;33;49;N;T
0.07.40;0.07.40;0.00.00;51;あたしこれ入れたいと思った面白いと思った;discussion;d;OE;34;50;T;N
0.07.44;0.07.59;0.00.15;52;入れ ましょ う これ は わり と その 地域 コミュニティ に も 繋がる 感じか な その 逆 に と いう か 教える 側 として みたいな 感じ でね。 で あと 移住 者 と 繋がってみたいな感じか;discussion;d;GO;35;51;N;T
0.08.07;0.08.08;0.00.02;53;移住 者 これか;discussion;d;E;36;52;T;
0.08.14;0.08.14;0.00.00;54;これは身近で言うとうーん;discussion;d;O;37;53;N;
0.08.22;0.08.22;0.00.00;55;あ え;discussion;d;O;38;54;T;
0.08.27;0.08.38;0.00.11;56;これなんか観光 業 の 復活 みたい な ところ と つながる感じかなでも観光業 じゃ ない か なんだ 住む 冠婚葬祭 などの文化の違い。.;discussion;d;O;39;55;N;T
0.08.44;0.08.48;0.00.04;57;昨日シュウさん これ って 観光 で の イメージ を し てましたそれよりかはどっちかと言うと住むみたいなイメージですよね.;discussion;d;O;40;56;N;Z
0.08.49;0.08.49;0.00.00;58;そうですね;discussion;d;G;41;57;Z;N
0.08.54;0.08.57;0.00.02;59;じゃあ 二 地域 居住 とかになるのかな;discussion;d;O;42;58;N;
0.09.00;0.09.36;0.00.36;60;ちょっといい です か みなさん まじめ な ので すごく に ちゃんと やっ て くれる の は すごく いい ん だ けど 黄色 を コピー し て それ に が に 必要 な 情報 関連 情報 が リンク で 貼ら れ た もの が 一緒 に コピー さ れる っていう ところ は ぐらい で よく て です ね あんまり 厳密 に これ も 関係 する ん じゃ ない か って こと で たくさん 増やし て いく と 結構 情報 過多 に なっ ちゃう ので まあ 何 か 一番 関連 する グレー なら グレー くらい で いい ん じゃ ない か な と.;discussion;i;OP;1;60;I;
0.09.36;0.09.37;0.00.01;61;1 個 ぐらい で;discussion;a;E;2;60;N;I
0.09.37;0.09.58;0.00.21;62;1 個 くらい で いい ん じゃ ない か な。 青 1個グレー 1 個 ぐらい 一番主要 な やつ ぐらい で それ も なく て も いい ので とりあえず 黄色 が コピー さ れる こと が 重要。 みなさん 本当に 真面目 だ から それ は 素晴らしい ん だ けど ここ は いいかげん に やっ て いい ん じゃ ない か な と 思い ます。 はい ござい;discussion;i;P;3;61;I;
0.09.58;0.10.02;0.00.04;63;じゃあそろそろ 2 個 目 に 映り ます か;plan;a;P;1;63;N;all
0.10.02;0.10.02;0.00.00;64;うん。;plan;a;G;2;63;A;N
0.10.03;0.10.42;0.00.39;65;えっとアクティブ シニア の 話 です ね。 結構 ここ は うん と 自分 の 人生 みたい な ところが 昨日 話していて結構 キーワード な の か な。 みたいな結構 自分 が みたいな 見 て も そうすると結構 いい な と 思っ たのはその 自分 の 持っ て いる 知識 や 技術 を さまざま な 世代に 継承 し たい みたい な ここ は 結構 考え て いる 人 が 多い ん じゃ ない か な っていう ところ で 思ってますね.;discussion;d;O;3;64;N;all
0.10.45;0.10.55;0.00.10;66;これ はニーズって企業 側 と 高齢 者 側 の ２つ が 書い て ある と 思う ん です けど それどっちもも リンク コピー し ますか;discussion;d;Q;4;65;A;N
0.10.56;0.11.15;0.00.19;67;まあ それ こそ これ で 何 か 実現 可能 だ よ ね とか 思っ たら とか で まあ そこ は 適宜 判断 する って 何 か すげ え 臨機応変 っていう 適当なワードになっちゃいます けど そんな感じで良いんじゃないですかね まあこれ 厳しく ねえ とか だっ たら あんまり 書か なく て も いいかなって思うので;discussion;d;O;5;66;N;A
0.11.17;0.11.18;0.00.01;68;ありがとうござい ます。;discussion;d;T;6;67;A;N
0.11.18;0.11.37;0.00.19;69;はい こ の 持っ てる 知識 とか 継承 っていう の は ぶっちゃけあれですよね 入り とか は 最初 の 入り とか は オンライン で も いい か な と 思っ たり する んで が IT とか と 組み合わせ られれ ば 右側 の どこ か に あるやつとか.;discussion;d;O;7;68;N;all
0.11.45;0.11.58;0.00.13;70;これ ちなみに。 こういう の を えっとあの 津軽 三味線 しか パッ と 思いつか なかっ た ん です けど これ って 現地 現地 と いう か みんな で 集まっ て それとも オンライン でやってます;discussion;d;Q;8;69;N;A
0.12.00;0.12.03;0.00.03;71;今 です か 今 は 対面 で やっ て ます;discussion;d;A;9;70;A;N
0.12.04;0.12.05;0.00.01;72;オンライン で やっ て た 時 ありました;discussion;d;A;10;70;N;A
0.12.06;0.12.07;0.00.01;73;あり まし た。 でも 結構厳しいですね;discussion;d;A;11;70;A;N
0.12.09;0.12.09;0.00.01;74;ああ 難しいか;discussion;d;E;12;73;N;A
0.12.12;0.12.21;0.00.09;75;楽器とか楽器とかじゃなければ 話す だけ とか だっ たら もう ちょっと オンライン で も やり やすい 面 は ある と 思い ます.;discussion;d;O;13;74;A;N
0.12.21;0.12.32;0.00.11;76;なるほど。 だから そこら 辺 どうにか できれ ば たぶん 音楽とか だ と 遅延 で あれ です よ ね;discussion;d;EO;14;75;N;A
0.12.33;0.12.35;0.00.01;77;そうですね一緒 に 合わせる こと が でき ないのでそれは難しいですね;discussion;d;O;15;76;A;N
0.12.39;0.12.44;0.00.06;78;なんかそ こら へん の 問題 解決 でき たら 結構 強い な って 思っ たり は し ます ね なるほど。.;discussion;d;O;16;77;N;A
0.12.47;0.13.02;0.00.15;79;という ところ と。 ああ シニア の 大学 へ の 短期 中期 留学。 いい です よ ね 自分 も シニアになったらそれ やっ て み たいとちょうど思ってたんですよね;discussion;d;O;17;78;N;all
0.13.02;0.13.06;0.00.04;80;やりたい ん です よ 2 カ月 とか 3 カ月とか の 正式 な 入学じゃなくて;discussion;d;O;18;79;T;N
0.13.08;0.13.20;0.00.12;81;こういう 結構 チャレンジング な もの を 許容 できる よう に する ため に は 何だろうななでも 何 か でも これ 残し たいですね これ と;discussion;d;O;19;80;N;T
0.13.23;0.13.28;0.00.05;82;これリンク さ せる と し たら オンライン とか これ も そう な の か な;discussion;d;O;20;81;T;N
0.13.28;0.13.35;0.00.07;83;なんか そう です ね とりあえず 黄色 残す の 大事 みたい に言ってたのでこれ と つなが なく て もまあ一家って感じなので。.;discussion;d;O;21;82;N;T
0.13.40;0.13.40;0.00.00;84;はーい;discussion;d;V;22;83;T;N
0.13.41;0.15.07;0.01.26;85;という 感じ かな。 企業 側 の ニーズ を 把握 し たい みたい な ところ は どう だろ う 一応。 うん。 一応 残し て おき ます か なんか あそこ も ああそうですそうです 何 か そこ も いけ そう か な と 思う ので そんな 感じ です ね 時間 が えっと じゃあ 次に 認知 症 の 方 で。 認知 症 に これ は 結構 難しい です よ ね その 前 こう 複雑 なんで 問題 が なん だろ う な。 例えば この 一番 右側 の 介護 の ストレス を 解消 し とか トラブル を 避ける 手段 みたい な の は 考え られ たら 結構 いろんな 人 に対して 良い 影響 を 与える か な と 思う ので それ を ちょっと どう やる か 今 まだ 思いついて ないですけど という ところ あと 例えば SNS とか で 誹謗 中傷 なんか も クソ怠いわ みたい な 感じ 介護だるいやみたいな感じじゃなくて 励ましてあげる みたい な わかん ない ん です けど そういうの を 組み合わせ られたら いい か な。;discussion;d;O;23;84;N;all
0.15.07;0.15.09;0.00.02;86;あ ああ なるほど ね。;discussion;d;E;24;85;T;N
0.15.11;0.15.41;0.00.30;87;直接 多分 一緒 に やる って 難しい と 思う ので なにか 間接 的 に 応援 する みたい な。 感じとかが でき たら いい か な。 あと は うーん。 そう です ね 結構 その 無機物 じゃ なく て 有機物 に し たい みたい な の は 結構.;discussion;d;O;25;86;N;all
0.15.41;0.15.42;0.00.01;88;それ は あり ます ね。.;discussion;d;G;26;87;T;N
0.15.42;0.15.56;0.00.14;89;昨日 話し て て 確か に なっ て 個人 的 には 思っ てて。 あ うん まあ やり方 は 分からないですけど そこ も ちょっと 個人 的 に は 残し たい なっ て 思っ てる の ですけどいかがでしょう;discussion;d;O;27;88;N;all
0.15.57;0.16.07;0.00.10;90;いいと思いますただそれってコロナで 逆 に 難しく なっ てる じゃ ないですか。 だからグレーにつなげるのは 結構 難しい です よ ね。.;discussion;d;GO;28;89;A;N
0.16.08;0.17.04;0.00.56;91;あーなるほど 確か に そう だな 。じゃあ とりあえず 残し と い て 難し そう だっ たら やっぱ む ずい よ ね ぐらい の テンション で いいかなっていいかなって思います。 じゃあ 認知 症 は そんな感じかな。次が環境のやつですね。環境 は やっぱり 何 か 結構 話し て い て 数値 化 と いう か。 どれ だけ 頑張っ てる よ みたい な の を 示し て あげる よう な の が いい か な っていう ところですね。 一番 左 の ところ と 逆 に やっぱり 結構 ここ は あれだな全部 そう だ な。 価格 競争 みたい な ところ を クリア でき たら かなり 強い と 思う ので;discussion;c;EO;29;90;N;all
0.17.05;0.17.05;0.00.00;92;価格競争;discussion;c;E;30;91;T;
0.17.07;0.18.11;0.01.04;93;これのあの 左側 が たぶん 消費 者 の ニーズ で 真ん中 が 企業 の ニーズ という 形 かなっ て 思っ て い て これ どっち も やっ て あげ た 方 が 嬉しい の か な って 思い ます みんな ちょっと できる か どう か は まだ わかん ない です けど。 例えば これ だっ たら それ こそ 数値 化 って 言っ たら なんだろうな 数値化例えば 例えば これ 数値 化 でき て すごい あなた 頑張っ て ます よ って なっ たら ふるさと 納税 が 何 か すごい いい の が 届く みたい な 感じ に なっ たら ちょっと 面白い か な みんな よく しよ う って 方向 に なる ので めっちゃ ジャストアイデア です けど 。 とか は 結構 面白い な って 思います。;discussion;c;O;31;92;N;all
0.18.12;0.18.12;0.00.00;94;うん 数値化 うんそうだね;discussion;c;G;32;93;T;N
0.18.15;0.18.27;0.00.12;95;例えばその これ 環境 あなた CO2こん だ け 減らし てる から じゃあ 今日は 米沢 牛 とか そういういや諏訪だからくるみのお菓子だ 名前が やばい 昨日書いたのに.;discussion;c;O;33;94;N;all
0.18.28;0.18.28;0.00.00;96;くるみやまびこです;discussion;c;O;34;95;M;N
0.18.28;0.18.28;0.00.00;97;すみませんありがとうございます;discussion;c;T;35;96;M;N
0.18.35;0.18.38;0.00.04;98;が 届く とか だ っ た から ちょっと 面白い か な って 思い ます ね;discussion;c;O;36;97;N;all
0.18.39;0.18.42;0.00.03;99;ここら へん に も つながるのかな 意欲 とか;discussion;c;O;37;98;T;
0.18.44;0.18.55;0.00.11;100;あと は 逆 に これ か。 価格 競争 って とこ で DX化とか を 進め られ たら わり と 低 コスト で 出来 たり する か な と 思い ます ね;discussion;c;O;38;99;N;all
0.18.55;0.18.56;0.00.01;101;笑 DX 化はどこにあったっけ;discussion;c;Q;39;100;T;N
0.19.00;0.19.01;0.00.01;102;上 の 方 に;discussion;c;A;40;101;N;T
0.19.01;0.19.02;0.00.01;103;ですよね これか;discussion;c;V;41;102;T;N
0.19.03;0.19.05;0.00.02;104;まあ なく て も とりあえず OKです.;discussion;c;O;42;103;N;T
0.19.05;0.19.24;0.00.19;105;次は 画一 的 なサービス って 感じ です か ね。 これはうーん そう です ね 生活の質を向上したい うーん;discussion;d;O;1;105;N;all
0.19.26;0.19.29;0.00.03;106;あーなんかオンリー ワン の 体験 とか 確か に 良い気がする。;discussion;d;O;2;105;T;N
0.19.47;0.20.07;0.00.20;107;こういう の が 多分 できる と 人 と 人 と の つながり が できやすい 一対一 だっ たりする ので そうすると結構孤独 とか なくなる 何か昨日確か 孤独 や うつ みたい な 自殺 の 相関みたいなのあったと思う ん です けど そこ に も 繋がる か な と 思いますね あと は やっぱり どういう ニーズ が ある か みたいなの を 企業側は把握しておきたいかなって;discussion;d;O;3;106;N;all
0.20.10;0.20.13;0.00.03;108;この ニーズ を 把握 し たい あ間違えちゃった;discussion;d;O;4;107;T;N
0.20.21;0.20.21;0.00.01;109;ぶっちゃけ1人1人になっちゃったのでそこら へん を じゃあ残す感じ ですかね;discussion;d;O;5;108;N;T
0.20.27;0.20.27;0.00.00;110;いいと思います続いて.;discussion;d;G;1;109;T;N
0.20.31;0.21.18;0.00.48;111;情報 の やつですね 結構 多分 特に 地方 だ と 何 でも 情報 って なっ ちゃっ てる と ちょっと きつい か な と いう か 怖い みたい な イメージ が 情報 抜き取ら れるみたい な 話 出てたと 思う ので そこ を うまく 伝え て あげる よう な 仕組み が できれ ば。 結構 そこら 辺 を UI UX の 部分だったりすると思うんですけど。 うーん消費者側は。 でも やっ てる こと 自体 は すごく 良い こと な んで 良い こと というか 若者 の 感覚 的 に は いい こと だ と 思うので 真ん中二つ とか を 残し ます か.;discussion;d;OQ;2;110;N;all
0.21.19;0.21.21;0.00.02;112;はい あ;discussion;d;A;3;111;T;all
0.21.28;0.21.40;0.00.12;113;これ は 結構 今 の それこそ企業 側 から し た DX化みたいなところに繋がるのかな.;discussion;d;O;4;112;N;all
0.21.43;0.21.43;0.00.00;114;そうですね.;discussion;d;G;5;113;A;N
0.21.43;0.21.43;0.00.00;115;これ難 繋げるのどうしよう;discussion;d;O;6;114;T;all
0.21.53;0.21.56;0.00.04;116;じゃあいっかな 多分 あの 黄色 だけ 残し ておいてもつなげるのむずいので。.;discussion;d;O;7;115;N;T
0.22.01;0.22.01;0.00.00;117;これでつながったかな.;discussion;d;Q;8;116;T;N
0.22.01;0.22.01;0.00.00;118;ありがとうございます;discussion;d;T;9;117;N;T
0.22.06;0.22.08;0.00.02;119;日本 文化 世界 へ の 継承伝承かな;discussion;d;O;10;118;T;all
0.22.19;0.22.20;0.00.01;120;うーんこれは逆 に 教え て もらう みたいなやつは単純に面白いな;discussion;d;O;11;119;N;T
0.22.23;0.22.33;0.00.10;121;あとこれ も 面白い な と 思っ た 少し アレンジが欲しいとか。 これ も か あぁ 宗教 的 な やつ も やつもあった;discussion;d;O;12;120;T;N
0.22.38;0.22.38;0.00.00;122;なんか海外の人に日本の文化を作ってもらうみたいなイメージですかねなんかアレンジしてもらうとか.;discussion;d;O;13;121;N;T
0.22.38;0.22.47;0.00.09;123;なんか 逆 に 良 さ を 洗練 し て もらう みたい な;discussion;d;O;14;122;T;N
0.22.47;0.23.22;0.00.35;124;なるほどなるほど なんか 日本 って そういう 国 ですよね 何 か いろんな ところ から いろいろ 引っ張っ て き て 確かに文化 に 合う かな と 思う ん ですね。 これ は それ こそ 何 だろ う なまあなんかでも 場合 によって は リモート とか でもできるのか な と 思っ たりするので こういう の は そういう ところ に つなげ られれ ば 良いかな 。 その 真ん中 と 左 上 は 一応 宗教 上 の やつ も 予防 策 的 な 意味 で 残し て おく の も 良いかな。.;discussion;d;O;15;123;N;T
0.23.24;0.23.29;0.00.05;125;えっ と。 総共働き か な。;discussion;d;O;16;124;N;all
0.23.30;0.23.31;0.00.01;126;うん。 最後 ですね;discussion;d;O;1;125;T;N
0.23.35;0.24.39;0.01.04;127;うんこれは 結構 難しい 問題 です よ ね 別に その 昨日乾さん から お話 を 伺っ て も あんまり やっ て とこ ない よ ね で ね うん うん 逆 に 新規 性 という 部分 で 言う と そこ が できれ ば 強い何 か そこ を 補助 できる よう な 仕組み を 作っ て あげれ ば 強いか な っていう この 育休 を 取り やすい 世の中 に なっ て ほしい みたい な の は 世の中 に する みたい な ぐらいの テンション で。 うん っていう ところ か な これ は なん だろ う な ちょっと 右側 何 に つながる か わから ない ので とりあえず 黄色 だけ 残し て おく 感じですかね だいたい こんな 感じ。 なんかここ 忘れてたな入れてほいい 欲しい みたいな所あります;discussion;d;OQ;2;126;N;all
0.24.41;0.24.43;0.00.02;128;いや 大丈夫 だ と 思い ます;discussion;d;A;3;127;A;N
0.24.44;0.24.44;0.00.00;129;了解です.;discussion;d;V;4;128;N;A
0.24.44;0.24.48;0.00.05;130;シュウさん も 大丈夫そうですか.;discussion;d;Q;5;129;N;Z
0.24.48;0.24.49;0.00.00;131;大丈夫です;discussion;d;A;6;130;Z;N
0.24.55;0.24.55;0.00.00;132;そしたらあっちですね3の方に移る感じですかね;discussion;d;P;1;132;N;all
0.25.01;0.25.06;0.00.05;133;果たして ちゃんと 映っ てる の だろ う か これ は ちょっと 不安 大丈夫 かな。;discussion;d;Q;2;133;T;all
0.25.12;0.25.13;0.00.01;134;そういう 感じ で出るのかこれ;discussion;d;E;3;134;N;
0.25.16;0.25.32;0.00.16;135;あーなるほどねでも 全部 写って無くないですかこれ ここら へん とか に 来 ているのかこれもこんなに 少なかっ た っけ。 あー ここ に めっちゃ重なっているのか;discussion;d;E;4;134;T;all
0.25.32;0.25.33;0.00.01;136;重なっ てる ん だ;discussion;d;E;5;135;N;T
0.25.50;0.25.53;0.00.03;137;整理 が 大変 だな いろいろ あっ て。;discussion;d;E;6;136;N;
0.26.16;0.26.23;0.00.07;138;じゃあ ちょっと。 次のも こんな 感じ で やっ て いき ましょ う と 話し ながら ちょっと整理しましょうかそしたら.;plan;c;I;7;138;N;all
0.26.23;0.26.23;0.00.00;139;次青 リソース.;plan;c;P;8;138;T;N
0.26.28;0.26.28;0.00.00;140;次青っすね。;plan;c;G;9;139;N;T
0.26.33;0.26.34;0.00.01;141;昨日の 話 聞け た し 結構ある気がする;plan;c;O;10;140;T;N
0.26.34;0.26.56;0.00.22;142;うんですよね最後の何だろうな自分 たち の 強み みたい な ところ は 正直 多分 自分 の こと を 書く みたい な 感じ な ので 10 分 ぐらい あれ ば 15分ぐらいかなあれば大丈夫かな ちょっと 青 を 長め に とる イメージ で いきましょうか;plan;c;GP;11;141;N;all
0.26.59;0.27.00;0.00.01;143;何 時 まで でし た っけ。 10.;plan;c;Q;12;143;T;all
0.27.00;0.27.03;0.00.03;144;40 分 かな.;plan;c;A;13;143;N;T
0.27.03;0.27.03;0.00.00;145;11時;plan;c;A;14;143;T;N
0.27.03;0.27.21;0.00.18;146;休憩入れたら 50分 で 最後 の な ん か 休憩 10 分間 くらい あっ て らしくて そこ も 含め て 時間 な ので まあ 休憩まあ 休憩 を 取り たい んで 自分 は;plan;c;P;15;145;N;T
0.27.23;0.27.29;0.00.07;147;なるべく 40 分 ぐらい までに終わらせるようにして 最悪 45 分 で 5分 取る っていう 感じ に し ましょ う か。.;plan;c;P;16;146;N;all
0.27.31;0.27.31;0.00.00;148;1時間ぐらい.;plan;c;P;17;147;A;N
0.27.31;0.27.32;0.00.01;149;そうですね。;plan;c;G;18;148;N;A
0.27.36;0.27.37;0.00.00;150;もう少しまた整理して;plan;c;O;19;149;N;
0.27.44;0.27.51;0.00.07;151;結構 自然 という 感じ に なる の か な。 その良さみたいな所は いろいろ あるとは思うんですけど;discussion;c;O;1;150;N;all
0.28.00;0.28.04;0.00.04;152;観光葬祭これは 移住 だったか .;discussion;c;O;2;151;T;
0.28.05;0.28.05;0.00.00;153;ああ.そうですね。.;discussion;c;G;3;152;T;N
0.28.05;0.28.16;0.00.11;154;これ 何 か この 例のやつ消して いい かな.;discussion;c;Q;4;153;T;N
0.28.16;0.28.18;0.00.02;155;うん いいと思う.;discussion;c;A;5;154;A;T
0.28.18;0.28.18;0.00.00;156;いいと思う;discussion;c;A;6;154;N;T
0.28.18;0.28.24;0.00.06;157;消し たい とても Delete;discussion;c;A;7;156;T;A N
0.28.26;0.28.29;0.00.03;158;右 から 緑 灰色 黄色 の 順番 が;discussion;c;O;8;157;N;all
0.28.41;0.28.43;0.00.03;159;緑右から緑 こっちか;discussion;c;O;9;158;T;
0.29.38;0.29.39;0.00.01;160;じゃあ まあ えっと;discussion;c;O;10;159;N;
0.29.44;0.29.45;0.00.01;161;ニーズを 把握 し たい って 何 の ニーズだったっけ;discussion;c;Q;11;161;T;N
0.29.49;0.29.51;0.00.02;162;あれ です ね 画一 的 な っていう事ですね;discussion;c;A;12;161;N;T
0.29.55;0.29.56;0.00.01;163;画一 的 に;discussion;c;E;13;162;T;N
0.29.57;0.30.00;0.00.03;164;それぞれ の 個人 の ニーズ が バラバラ すぎ て;discussion;c;O;14;163;N;T
0.30.00;0.30.00;0.00.00;165;わ なるほど;discussion;c;E;15;164;T;N
0.31.02;0.31.15;0.00.13;166;じゃあまあ そう です ね。 だいたい 何 か なんとなく 整理 が 終わっ たら ちょっと 次 の ところに行きましょう整理は まあまた 後 でも できるかもしれないので.;discussion;c;P;16;165;N;all
0.31.15;0.31.15;0.00.00;167;青やりますか;discussion;c;P;1;166;T;N
0.31.20;0.31.20;0.00.00;168;青行きましょうか.;discussion;c;G;2;167;N;T
